error,model
0.037,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.0,error_HSGS
0.0,error_HSGS
0.037,error_HSGS
0.037,error_HSGS
0.037,error_HSGS
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_encoding
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.0,error_classic
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
0.037,error_classic_bin
