,model,bias,threshold,lr,avg_error,trained_weights,neuron_outputs
0,Encoding,False,0.1,0.02,"[0.5714, 0.5714, 0.5714, 0.5714, 0.5714]","[[0.101638160165, 0.042634066755, -0.314823053458, 0.942729264297], [0.5, 0.5, 0.5, 0.5]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,Encoding,True,0.1,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.353553390593, -0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593], [0.210335796101, -0.202836665804, 0.274998123364, -0.304790905805, -0.106123861221, -0.601485713848, -0.106123861221, -0.601485713848]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,Encoding,False,0.1,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.015952504653, -0.082830919615, -0.197251302754, 0.976717195463], [0.5, 0.5, 0.5, 0.5]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,Encoding,True,0.1,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.353553390593, -0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593, 0.353553390593], [0.234765704963, -0.201895269785, 0.258501351929, -0.323599684359, -0.148913685066, -0.586614476443, -0.148913685066, -0.586614476443]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,Encoding,False,0.3,0.02,"[0.5714, 0.5714, 0.5714, 0.5714, 0.5714]","[[0.101638160165, 0.042634066755, -0.314823053458, 0.942729264297], [0.422743696277, 0.571201553156, 0.532621252396, 0.459707683671]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,Encoding,True,0.3,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.278198583555, -0.243833648735, 0.161644976929, 0.609651001344, -0.341081829568, -0.341081829568, -0.341081829568, -0.341081829568], [0.089279648004, -0.087011226709, 0.199505698058, -0.219908535213, -0.296971481264, -0.599963241413, -0.296971481264, -0.599963241413]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,Encoding,False,0.3,0.1,"[0.5714, 0.5714, 0.5714, 0.5714, 0.5714]","[[0.141152999119, 0.08634283657, -0.345610810971, 0.923674137752], [0.375614000281, 0.597101191399, 0.574691072764, 0.414866798994]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,Encoding,True,0.3,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.226062064366, -0.257573845552, 0.095424248328, 0.629649476158, -0.345321374645, -0.345321374645, -0.345321374645, -0.345321374645], [0.024784647508, -0.074064820001, 0.193801821908, -0.202367900832, -0.27879007653, -0.616417227485, -0.27879007653, -0.616417227485]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,Encoding,False,0.5,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.101638160165, 0.042634066755, -0.314823053458, 0.942729264297], [-0.289784240337, 0.520023081872, 0.490139419248, -0.636682368275]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,Encoding,True,0.5,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.096171790276, -0.040599662379, -0.028053722788, 0.378168927924, -0.45970205154, -0.45970205154, -0.45970205154, -0.45970205154], [-0.030209622863, 0.043771762185, 0.102493929546, -0.112407792607, -0.458613765415, -0.526012225349, -0.458613765415, -0.526012225349]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,Encoding,False,0.5,0.1,"[0.5714, 0.5714, 0.5714, 0.5714, 0.5714]","[[0.141152999119, 0.08634283657, -0.345610810971, 0.923674137752], [0.052598199413, 0.766862005428, 0.632437363974, 0.095807487698]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,Encoding,True,0.5,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.03342876917, -0.123192989198, 0.008120634989, 0.42443425186, -0.448189587658, -0.448189587658, -0.448189587658, -0.448189587658], [-0.012004012993, 0.068461527935, 0.17314223457, -0.075358114446, -0.461752621343, -0.516275545337, -0.461752621343, -0.516275545337]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,Encoding,False,0.7,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.101638160165, 0.042634066755, -0.314823053458, 0.942729264297], [-0.289784240337, 0.520023081872, 0.490139419248, -0.636682368275]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,Encoding,True,0.7,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.036292151487, 0.020807188864, -0.093151206888, 0.266906810928, -0.479148606271, -0.479148606271, -0.479148606271, -0.479148606271], [-0.029209114019, 0.055113388051, 0.063097746127, -0.096251275782, -0.495697414841, -0.495697414912, -0.495697414841, -0.495697414912]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Encoding,False,0.7,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.141152999119, 0.08634283657, -0.345610810971, 0.923674137752], [-0.287407760996, 0.447807156961, 0.439568898012, -0.723632996065]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,Encoding,True,0.7,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.070483852962, 0.057271609422, -0.10725984859, 0.257104726187, -0.478054514119, -0.478054514119, -0.478054514119, -0.478054514119], [0.023473856571, 0.035716630892, 0.08909611851, -0.127520418135, -0.493450535758, -0.493450535759, -0.493450535758, -0.493450535759]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Encoding,False,0.8,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.101638160165, 0.042634066755, -0.314823053458, 0.942729264297], [-0.289784240337, 0.520023081872, 0.490139419248, -0.636682368275]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Encoding,True,0.8,0.02,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.036292151487, 0.020807188864, -0.093151206888, 0.266906810928, -0.479148606271, -0.479148606271, -0.479148606271, -0.479148606271], [-0.029209114019, 0.055113388051, 0.063097746127, -0.096251275782, -0.495697414841, -0.495697414912, -0.495697414841, -0.495697414912]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Encoding,False,0.8,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.141152999119, 0.08634283657, -0.345610810971, 0.923674137752], [-0.287407760996, 0.447807156961, 0.439568898012, -0.723632996065]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Encoding,True,0.8,0.1,"[0.4286, 0.4286, 0.4286, 0.4286, 0.4286]","[[0.070483852962, 0.057271609422, -0.10725984859, 0.257104726187, -0.478054514119, -0.478054514119, -0.478054514119, -0.478054514119], [0.023473856571, 0.035716630892, 0.08909611851, -0.127520418135, -0.493450535758, -0.493450535759, -0.493450535758, -0.493450535759]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
